benchmark_id,canonical_id,point_label,consensus_record_count,x_mad_px,y_mad_px,radial_mad_px
flm_44ecc00d45cb1d79,4,dorsal fin insertion,2,1.0,1.5,1.8027756377319946
flm_44ecc00d45cb1d79,5,upper caudal fin insertion,2,0.5,3.0,3.0413812651491097
flm_44ecc00d45cb1d79,6,caudal peduncle midpoint,2,2.0,0.5,2.0615528128088303
flm_44ecc00d45cb1d79,7,lower caudal fin insertion,2,0.5,1.0,1.118033988749895
flm_44ecc00d45cb1d79,8,anal fin origin,2,0.5,2.0,2.0615528128088303
flm_44ecc00d45cb1d79,9,pelvic fin origin,2,1.0,0.0,1.0
flm_44ecc00d45cb1d79,10,pectoral fin base,2,0.5,3.5,3.5355339059327378
flm_44ecc00d45cb1d79,11,posterior opercular margin,2,1.0,11.5,11.543396380615196
flm_46dcd41b56387de0,1,snout tip,2,0.5,0.0,0.5
flm_46dcd41b56387de0,2,nape dorsal outline,2,0.0,0.0,0.0
flm_46dcd41b56387de0,3,dorsal fin origin,2,0.5,0.0,0.5
flm_46dcd41b56387de0,4,dorsal fin insertion,2,1.0,1.0,1.4142135623730951
flm_46dcd41b56387de0,5,upper caudal fin insertion,2,4.5,2.0,4.924428900898052
flm_46dcd41b56387de0,6,caudal peduncle midpoint,2,1.0,0.5,1.118033988749895
flm_46dcd41b56387de0,7,lower caudal fin insertion,2,0.0,0.5,0.5
flm_46dcd41b56387de0,8,anal fin origin,2,1.5,0.5,1.5811388300841898
flm_46dcd41b56387de0,9,pelvic fin origin,2,7.5,1.0,7.566372975210778
flm_46dcd41b56387de0,10,pectoral fin base,2,0.0,1.0,1.0
flm_46dcd41b56387de0,11,posterior opercular margin,2,1.0,1.0,1.4142135623730951
flm_4b6f7fd6f28fc60f,1,snout tip,2,0.5,0.5,0.7071067811865476
flm_4b6f7fd6f28fc60f,2,nape dorsal outline,2,0.5,0.0,0.5
flm_4b6f7fd6f28fc60f,3,dorsal fin origin,2,1.0,0.5,1.118033988749895
flm_4b6f7fd6f28fc60f,4,dorsal fin insertion,2,0.5,2.5,2.5495097567963922
flm_4b6f7fd6f28fc60f,5,upper caudal fin insertion,2,1.0,2.0,2.23606797749979
flm_4b6f7fd6f28fc60f,6,caudal peduncle midpoint,2,0.5,1.5,1.5811388300841898
